month,region,student_loan_count,credit_reporting_count,debt_collection_count,federal_student_loan_servicing_count,non_federal_student_loan_count,private_student_loan_count
2012-03,Midwest,56,0,0,0,56,0
2012-04,Midwest,15,0,0,0,15,0
2012-05,Midwest,9,0,0,0,9,0
2012-06,Midwest,51,0,0,0,51,0
2012-07,Midwest,22,0,0,0,22,0
2012-08,Midwest,13,0,0,0,13,0
2012-09,Midwest,21,0,0,0,21,0
2012-10,Midwest,22,0,0,0,22,0
2012-11,Midwest,26,0,0,0,26,0
2012-12,Midwest,12,0,0,0,12,0
2013-01,Midwest,16,0,0,0,16,0
2013-02,Midwest,19,0,0,0,19,0
2013-03,Midwest,17,0,0,0,17,0
2013-04,Midwest,26,0,0,0,26,0
2013-05,Midwest,13,0,0,0,13,0
2013-06,Midwest,5,0,0,0,5,0
2013-07,Midwest,25,0,0,0,25,0
2013-08,Midwest,21,0,2,0,22,0
2013-09,Midwest,19,0,10,0,21,0
2013-10,Midwest,35,0,6,0,37,0
2013-11,Midwest,24,0,6,0,26,0
2013-12,Midwest,33,0,3,0,35,0
2014-01,Midwest,34,0,12,0,34,0
2014-02,Midwest,31,0,10,0,35,0
2014-03,Midwest,30,0,9,0,31,0
2014-04,Midwest,46,0,8,0,48,0
2014-05,Midwest,38,0,7,0,41,0
2014-06,Midwest,36,0,9,0,41,0
2014-07,Midwest,38,0,8,0,41,0
2014-08,Midwest,28,0,5,0,30,0
2014-09,Midwest,27,0,3,0,28,0
2014-10,Midwest,37,0,6,0,39,0
2014-11,Midwest,30,0,6,0,32,0
2014-12,Midwest,35,0,2,0,36,0
2015-01,Midwest,23,0,5,0,25,0
2015-02,Midwest,22,0,4,0,23,0
2015-03,Midwest,31,0,9,0,35,0
2015-04,Midwest,29,0,7,0,29,0
2015-05,Midwest,28,0,4,0,29,0
2015-06,Midwest,21,0,3,0,23,0
2015-07,Midwest,25,0,8,0,28,0
2015-08,Midwest,21,0,5,0,21,0
2015-09,Midwest,24,0,2,0,24,0
2015-10,Midwest,19,0,5,0,21,0
2015-11,Midwest,17,0,7,0,18,0
2015-12,Midwest,24,0,7,0,26,0
2016-01,Midwest,39,0,10,0,43,0
2016-02,Midwest,31,0,10,2,34,0
2016-03,Midwest,60,0,5,37,25,0
2016-04,Midwest,75,0,12,36,44,0
2016-05,Midwest,52,0,7,29,26,0
2016-06,Midwest,46,0,4,24,24,0
2016-07,Midwest,45,0,5,24,24,0
2016-08,Midwest,49,0,7,25,26,0
2016-09,Midwest,52,0,5,19,34,0
2016-10,Midwest,29,0,11,12,20,0
2016-11,Midwest,38,0,4,20,19,0
2016-12,Midwest,29,0,6,15,17,0
2017-01,Midwest,665,0,13,431,240,0
2017-02,Midwest,254,0,6,161,97,0
2017-03,Midwest,210,0,9,136,77,0
2017-04,Midwest,169,6,13,101,60,11
2017-05,Midwest,106,10,6,51,0,55
2017-06,Midwest,88,3,8,50,0,38
2017-07,Midwest,110,7,11,67,0,43
2017-08,Midwest,92,10,10,53,0,39
2017-09,Midwest,71,2,11,49,0,22
2017-10,Midwest,66,4,10,38,0,28
2017-11,Midwest,66,8,9,36,0,30
2017-12,Midwest,52,5,17,36,0,16
2018-01,Midwest,84,10,12,53,0,31
2018-02,Midwest,70,6,11,39,0,31
2018-03,Midwest,74,5,10,40,0,34
2018-04,Midwest,79,10,7,49,0,30
2018-05,Midwest,70,9,7,37,0,33
2018-06,Midwest,48,4,9,26,0,22
2018-07,Midwest,76,3,6,52,0,24
2018-08,Midwest,56,9,15,35,0,21
2018-09,Midwest,54,7,6,23,0,31
2018-10,Midwest,46,11,5,23,0,23
2018-11,Midwest,59,4,4,37,0,22
2018-12,Midwest,48,8,10,28,0,20
2019-01,Midwest,77,8,7,45,0,32
2019-02,Midwest,67,9,9,45,0,22
2019-03,Midwest,61,7,5,43,0,18
2019-04,Midwest,46,4,12,20,0,26
2019-05,Midwest,49,6,5,30,0,19
2019-06,Midwest,42,13,2,24,0,18
2019-07,Midwest,37,5,5,23,0,14
2019-08,Midwest,42,8,2,23,0,19
2019-09,Midwest,35,1,6,21,0,14
2019-10,Midwest,41,9,5,26,0,15
2019-11,Midwest,36,2,5,20,0,16
2019-12,Midwest,26,9,0,19,0,7
