month,region,student_loan_count,credit_reporting_count,debt_collection_count,federal_student_loan_servicing_count,non_federal_student_loan_count,private_student_loan_count
2012-03,Midwest,56,0,0,0,56,0
2012-03,Northeast,75,0,0,0,75,0
2012-03,South,64,0,0,0,64,0
2012-03,West,48,0,0,0,48,0
2012-03,NA,7,0,0,0,7,0
2012-04,Midwest,15,0,0,0,15,0
2012-04,Northeast,27,0,0,0,27,0
2012-04,South,37,0,0,0,37,0
2012-04,West,10,0,0,0,10,0
2012-04,NA,3,0,0,0,3,0
2012-05,Midwest,9,0,0,0,9,0
2012-05,Northeast,16,0,0,0,16,0
2012-05,South,22,0,0,0,22,0
2012-05,West,12,0,0,0,12,0
2012-05,NA,1,0,0,0,1,0
2012-06,Midwest,51,0,0,0,51,0
2012-06,Northeast,78,0,0,0,78,0
2012-06,South,85,0,0,0,85,0
2012-06,West,57,0,0,0,57,0
2012-06,NA,4,0,0,0,4,0
2012-07,Midwest,22,0,0,0,22,0
2012-07,Northeast,30,0,0,0,30,0
2012-07,South,29,0,0,0,29,0
2012-07,West,15,0,0,0,15,0
2012-07,NA,5,0,0,0,5,0
2012-08,Midwest,13,0,0,0,13,0
2012-08,Northeast,13,0,0,0,13,0
2012-08,South,25,0,0,0,25,0
2012-08,West,16,0,0,0,16,0
2012-08,NA,3,0,0,0,3,0
2012-09,Midwest,21,0,0,0,21,0
2012-09,Northeast,15,0,0,0,15,0
2012-09,South,21,0,0,0,21,0
2012-09,West,16,0,0,0,16,0
2012-09,NA,1,0,0,0,1,0
2012-10,Midwest,22,0,0,0,22,0
2012-10,Northeast,25,0,0,0,25,0
2012-10,South,37,0,0,0,37,0
2012-10,West,23,0,0,0,23,0
2012-10,NA,2,0,0,0,2,0
2012-11,Midwest,26,0,0,0,26,0
2012-11,Northeast,35,0,0,0,35,0
2012-11,South,23,0,0,0,23,0
2012-11,West,19,0,0,0,19,0
2012-11,NA,2,0,0,0,2,0
2012-12,Midwest,12,0,0,0,12,0
2012-12,Northeast,17,0,0,0,17,0
2012-12,South,30,0,0,0,30,0
2012-12,West,9,0,0,0,9,0
2013-01,Midwest,16,0,0,0,16,0
