month,region,student_loan_count,credit_reporting_count,debt_collection_count,federal_student_loan_servicing_count,non_federal_student_loan_count,private_student_loan_count
2012-03,Northeast,75,0,0,0,75,0
2012-04,Northeast,27,0,0,0,27,0
2012-05,Northeast,16,0,0,0,16,0
2012-06,Northeast,78,0,0,0,78,0
2012-07,Northeast,30,0,0,0,30,0
2012-08,Northeast,13,0,0,0,13,0
2012-09,Northeast,15,0,0,0,15,0
2012-10,Northeast,25,0,0,0,25,0
2012-11,Northeast,35,0,0,0,35,0
2012-12,Northeast,17,0,0,0,17,0
2013-01,Northeast,31,0,0,0,31,0
2013-02,Northeast,28,0,0,0,28,0
2013-03,Northeast,36,0,0,0,36,0
2013-04,Northeast,21,0,0,0,21,0
2013-05,Northeast,25,0,0,0,25,0
2013-06,Northeast,28,0,0,0,28,0
2013-07,Northeast,32,0,6,0,35,0
2013-08,Northeast,29,0,7,0,33,0
2013-09,Northeast,43,0,5,0,46,0
2013-10,Northeast,43,0,10,0,46,0
2013-11,Northeast,39,0,9,0,41,0
2013-12,Northeast,42,0,10,0,46,0
2014-01,Northeast,47,0,9,0,51,0
2014-02,Northeast,32,0,11,0,34,0
2014-03,Northeast,42,0,6,0,45,0
2014-04,Northeast,35,0,6,0,40,0
2014-05,Northeast,41,0,7,0,43,0
2014-06,Northeast,33,0,12,0,39,0
2014-07,Northeast,34,0,13,0,42,0
2014-08,Northeast,32,0,6,0,34,0
2014-09,Northeast,32,0,3,0,34,0
2014-10,Northeast,37,0,7,0,41,0
2014-11,Northeast,40,0,5,0,42,0
2014-12,Northeast,37,0,8,0,41,0
2015-01,Northeast,43,0,6,0,44,0
2015-02,Northeast,24,0,6,0,25,0
2015-03,Northeast,40,0,4,0,41,0
2015-04,Northeast,40,0,7,0,42,0
2015-05,Northeast,39,0,4,0,40,0
2015-06,Northeast,33,0,4,0,34,0
2015-07,Northeast,32,0,6,0,37,0
2015-08,Northeast,40,0,7,0,41,0
2015-09,Northeast,33,0,6,0,37,0
2015-10,Northeast,36,0,12,0,41,0
2015-11,Northeast,38,0,10,0,40,0
2015-12,Northeast,19,0,2,0,20,0
2016-01,Northeast,26,0,2,0,26,0
2016-02,Northeast,39,0,5,2,39,0
2016-03,Northeast,58,0,3,20,38,0
2016-04,Northeast,91,0,10,43,54,0
2016-05,Northeast,63,0,4,22,45,0
2016-06,Northeast,41,0,9,17,28,0
2016-07,Northeast,43,0,5,19,27,0
2016-08,Northeast,47,0,3,17,30,0
2016-09,Northeast,52,0,8,28,27,0
2016-10,Northeast,49,0,10,23,28,0
2016-11,Northeast,49,0,6,24,26,0
2016-12,Northeast,43,0,6,19,25,0
2017-01,Northeast,893,0,7,521,374,0
2017-02,Northeast,302,0,8,138,164,0
2017-03,Northeast,221,0,13,129,98,0
2017-04,Northeast,203,5,9,118,66,19
2017-05,Northeast,127,2,15,62,0,65
2017-06,Northeast,96,10,3,46,0,50
2017-07,Northeast,136,13,8,69,0,67
2017-08,Northeast,112,3,13,64,0,48
2017-09,Northeast,90,14,10,47,0,43
2017-10,Northeast,124,5,4,66,0,58
2017-11,Northeast,70,11,5,38,0,32
2017-12,Northeast,58,10,9,36,0,22
2018-01,Northeast,88,4,11,45,0,43
2018-02,Northeast,68,4,12,33,0,35
2018-03,Northeast,86,10,10,41,0,45
2018-04,Northeast,87,11,10,42,0,45
2018-05,Northeast,56,6,11,26,0,30
2018-06,Northeast,52,5,10,27,0,25
2018-07,Northeast,66,4,5,29,0,37
2018-08,Northeast,68,11,7,44,0,24
2018-09,Northeast,57,6,6,23,0,34
2018-10,Northeast,59,4,9,29,0,30
2018-11,Northeast,54,12,10,34,0,20
2018-12,Northeast,77,7,7,36,0,41
2019-01,Northeast,77,2,4,39,0,38
2019-02,Northeast,72,10,3,47,0,25
2019-03,Northeast,67,7,7,40,0,27
2019-04,Northeast,50,4,4,28,0,22
2019-05,Northeast,47,4,2,26,0,21
2019-06,Northeast,43,6,8,20,0,23
2019-07,Northeast,53,10,5,31,0,22
2019-08,Northeast,38,6,4,21,0,17
2019-09,Northeast,35,7,8,24,0,11
2019-10,Northeast,59,5,6,31,0,28
2019-11,Northeast,40,7,3,29,0,11
2019-12,Northeast,25,0,3,12,0,13
2020-01,Northeast,35,7,1,18,0,17
2020-02,Northeast,30,7,1,22,0,8
2020-03,Northeast,23,12,1,9,0,14
2020-04,Northeast,24,12,4,16,0,8
2020-05,Northeast,34,5,6,18,0,16
2020-06,Northeast,19,14,2,10,0,9
2020-07,Northeast,11,8,6,7,0,4
2020-08,Northeast,16,17,3,8,0,8
2020-09,Northeast,11,6,1,5,0,6
2020-10,Northeast,35,16,2,22,0,13
2020-11,Northeast,20,24,7,14,0,6
2020-12,Northeast,25,10,4,18,0,7
2021-01,Northeast,25,6,6,14,0,11
2021-02,Northeast,22,9,1,14,0,8
2021-03,Northeast,27,20,4,17,0,10
2021-04,Northeast,19,9,4,12,0,7
2021-05,Northeast,13,7,2,9,0,4
2021-06,Northeast,13,12,4,6,0,7
2021-07,Northeast,23,16,5,9,0,14
2021-08,Northeast,24,11,3,15,0,9
2021-09,Northeast,15,4,3,10,0,5
2021-10,Northeast,15,4,2,9,0,6
2021-11,Northeast,17,8,3,11,0,6
2021-12,Northeast,16,8,0,10,0,6
2022-01,Northeast,46,12,2,19,0,27
2022-02,Northeast,26,5,4,14,0,12
2022-03,Northeast,34,8,5,20,0,14
2022-04,Northeast,36,6,2,17,0,19
2022-05,Northeast,20,4,2,10,0,10
2022-06,Northeast,20,4,3,9,0,11
2022-07,Northeast,26,4,0,10,0,16
2022-08,Northeast,39,9,0,19,0,20
2022-09,Northeast,33,1,3,17,0,16
2022-10,Northeast,28,3,2,16,0,12
2022-11,Northeast,17,6,0,5,0,12
2022-12,Northeast,18,6,2,7,0,11
2023-01,Northeast,16,9,1,9,0,7
2023-02,Northeast,16,1,0,5,0,11
2023-03,Northeast,13,6,5,4,0,9
2023-04,Northeast,13,2,4,2,0,11
2023-05,Northeast,10,2,1,3,0,7
2023-06,Northeast,9,3,4,2,0,7
2023-07,Northeast,26,3,4,7,0,19
2023-08,Northeast,28,2,2,8,0,20
2023-09,Northeast,22,0,0,8,0,14
2023-10,Northeast,25,0,2,14,0,11
2023-11,Northeast,13,0,0,7,0,6
2023-12,Northeast,12,0,0,8,0,4
2024-01,Northeast,19,0,1,4,0,15
2024-02,Northeast,13,0,0,4,0,9
2024-03,Northeast,20,0,0,6,0,14
2024-04,Northeast,6,0,0,1,0,5
