month,private_student_loan_count_pc_west,private_student_loan_count_pc_midwest,private_student_loan_count_pc_south,private_student_loan_count_pc_northeast
2012-03,0,0,0,0
2012-04,0,0,0,0
2012-05,0,0,0,0
2012-06,0,0,0,0
2012-07,0,0,0,0
2012-08,0,0,0,0
2012-09,0,0,0,0
2012-10,0,0,0,0
2012-11,0,0,0,0
2012-12,0,0,0,0
2013-01,0,0,0,0
2013-02,0,0,0,0
2013-03,0,0,0,0
2013-04,0,0,0,0
2013-05,0,0,0,0
2013-06,0,0,0,0
2013-07,0,0,0,0
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,0,0,0,0
2013-11,0,0,0,0
2013-12,0,0,0,0
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,0,0,0,0
2015-12,0,0,0,0
2016-01,0,0,0,0
2016-02,0,0,0,0
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,0,0,0,0
2016-06,0,0,0,0
2016-07,0,0,0,0
2016-08,0,0,0,0
2016-09,0,0,0,0
2016-10,0,0,0,0
2016-11,0,0,0,0
2016-12,0,0,0,0
2017-01,0,0,0,0
2017-02,0,0,0,0
2017-03,0,0,0,0
2017-04,0.3345047475165242,0.16124368485443638,0.11235430074848349,0.33918328698988776
2017-05,0.7847995999426144,0.8062184242721819,0.5537461965460971,1.160363876544353
2017-06,0.4374292852139162,0.5570236385880529,0.5376955821534567,0.8925875973418099
2017-07,0.6432783606087004,0.6303162226127967,0.5457208893497769,1.1960673804380253
2017-08,0.5660849573356563,0.5716821553930017,0.6580751900982603,0.8568840934481375
2017-09,0.3602358819408722,0.32248736970887276,0.4253412814049732,0.7676253337139565
2017-10,0.3473703147286982,0.4104384705385653,0.5136196605644959,1.0354016129164993
2017-11,0.3859670163652202,0.4397555041484629,0.3450882094417707,0.5712560622987582
2017-12,0.23158020981913213,0.2345362688791802,0.32101228785280994,0.39273854283039633
2018-01,0.4245637180017422,0.45441402095341166,0.45744251019025417,0.7676253337139565
2018-02,0.3216391803043502,0.45441402095341166,0.3691641310307315,0.6248113181392669
2018-03,0.4888915540626123,0.4983895713682579,0.3611388238344112,0.803328837607629
2018-04,0.3988325835773942,0.4397555041484629,0.40126535981601247,0.803328837607629
2018-05,0.46316041963826426,0.4837310545633091,0.3932400526196922,0.535552558405086
2018-06,0.3731014491530462,0.32248736970887276,0.4253412814049732,0.44629379867090496
2018-07,0.3859670163652202,0.35180440331877033,0.4092906670123327,0.6605148220329392
2018-08,0.2959080458800022,0.30782885290392403,0.3932400526196922,0.42844204672406877
2018-09,0.2573113442434801,0.45441402095341166,0.4253412814049732,0.6069595661924306
2018-10,0.30877361309217616,0.33714588651382155,0.3049616734601695,0.535552558405086
2018-11,0.24444577703130616,0.32248736970887276,0.3049616734601695,0.35703503893672395
2018-12,0.27017691145565415,0.29317033609897525,0.3370629022454505,0.7319218298202841
2019-01,0.2959080458800022,0.4690725377583604,0.3932400526196922,0.6783665739797755
2019-02,0.2573113442434801,0.32248736970887276,0.3932400526196922,0.44629379867090496
2019-03,0.20584907539478411,0.26385330248907773,0.4253412814049732,0.4819973025645774
2019-04,0.30877361309217616,0.3811214369286678,0.3129869806564897,0.39273854283039633
2019-05,0.1801179409704361,0.27851181929402646,0.13643022233744423,0.37488679088356014
2019-06,0.23158020981913213,0.26385330248907773,0.3129869806564897,0.4105902947772325
2019-07,0.20584907539478411,0.20521923526928265,0.16853145112272525,0.39273854283039633
2019-08,0.23158020981913213,0.27851181929402646,0.20063267990800623,0.3034797830962153
2019-09,0.23158020981913213,0.20521923526928265,0.16050614392640497,0.19636927141519817
2019-10,0.1929835081826101,0.21987775207423144,0.28088575187120873,0.49984905451141354
2019-11,0.14152123933391408,0.2345362688791802,0.20063267990800623,0.19636927141519817
2019-12,0.1801179409704361,0.10260961763464133,0.17655675831904546,0.23207277530887055
2020-01,0.20584907539478411,0.1905607184643339,0.18458206551536574,0.3034797830962153
2020-02,0.1929835081826101,0.16124368485443638,0.14445552953376448,0.14281401557468956
2020-03,0.12865567212174006,0.1905607184643339,0.16050614392640497,0.24992452725570677
2020-04,0.1929835081826101,0.13192665124453887,0.16050614392640497,0.14281401557468956
2020-05,0.09005897048521805,0.10260961763464133,0.11235430074848349,0.2856280311493791
2020-06,0.11579010490956607,0.13192665124453887,0.13643022233744423,0.16066576752152578
2020-07,0.14152123933391408,0.07329258402474381,0.06420245757056199,0.07140700778734478
2020-08,0.12865567212174006,0.08795110082969258,0.08827837915952273,0.14281401557468956
2020-09,0.10292453769739206,0.05863406721979505,0.056177150374241744,0.10711051168101719
2020-10,0.09005897048521805,0.08795110082969258,0.10432899355216324,0.23207277530887055
2020-11,0.05146226884869603,0.04397555041484629,0.08827837915952273,0.10711051168101719
2020-12,0.15438680654608808,0.14658516804948762,0.08827837915952273,0.12496226362785338
2021-01,0.14152123933391408,0.21987775207423144,0.096303686355843,0.19636927141519817
2021-02,0.06432783606087003,0.04397555041484629,0.08827837915952273,0.14281401557468956
2021-03,0.05146226884869603,0.10260961763464133,0.16853145112272525,0.17851751946836197
2021-04,0.06432783606087003,0.07329258402474381,0.16853145112272525,0.12496226362785338
2021-05,0.1672523737582621,0.1172681344395901,0.07222776476688224,0.07140700778734478
2021-06,0.05146226884869603,0.10260961763464133,0.08827837915952273,0.12496226362785338
2021-07,0.11579010490956607,0.08795110082969258,0.192607372711686,0.24992452725570677
2021-08,0.07719340327304404,0.029317033609897524,0.18458206551536574,0.16066576752152578
2021-09,0.03859670163652202,0.13192665124453887,0.12037960794480373,0.08925875973418099
2021-10,0.12865567212174006,0.1905607184643339,0.096303686355843,0.10711051168101719
2021-11,0.06432783606087003,0.1172681344395901,0.08827837915952273,0.10711051168101719
2021-12,0.03859670163652202,0.08795110082969258,0.08025307196320249,0.10711051168101719
2022-01,0.2187146426069581,0.2345362688791802,0.3129869806564897,0.4819973025645774
2022-02,0.15438680654608808,0.21987775207423144,0.17655675831904546,0.21422102336203439
2022-03,0.15438680654608808,0.27851181929402646,0.25680983028224796,0.24992452725570677
2022-04,0.2573113442434801,0.29317033609897525,0.15248083673008475,0.33918328698988776
2022-05,0.2187146426069581,0.17590220165938517,0.22470860149696698,0.17851751946836197
2022-06,0.20584907539478411,0.27851181929402646,0.18458206551536574,0.19636927141519817
2022-07,0.15438680654608808,0.21987775207423144,0.192607372711686,0.2856280311493791
2022-08,0.2573113442434801,0.3811214369286678,0.3611388238344112,0.35703503893672395
2022-09,0.1929835081826101,0.1905607184643339,0.28088575187120873,0.2856280311493791
2022-10,0.20584907539478411,0.1905607184643339,0.24878452308592772,0.21422102336203439
2022-11,0.09005897048521805,0.14658516804948762,0.18458206551536574,0.21422102336203439
2022-12,0.12865567212174006,0.2345362688791802,0.13643022233744423,0.19636927141519817
2023-01,0.09005897048521805,0.17590220165938517,0.15248083673008475,0.12496226362785338
2023-02,0.14152123933391408,0.13192665124453887,0.11235430074848349,0.19636927141519817
2023-03,0.12865567212174006,0.20521923526928265,0.14445552953376448,0.16066576752152578
2023-04,0.09005897048521805,0.07329258402474381,0.14445552953376448,0.19636927141519817
2023-05,0.10292453769739206,0.08795110082969258,0.12840491514112398,0.12496226362785338
2023-06,0.05146226884869603,0.10260961763464133,0.12037960794480373,0.12496226362785338
2023-07,0.1672523737582621,0.20521923526928265,0.14445552953376448,0.33918328698988776
2023-08,0.15438680654608808,0.27851181929402646,0.24075921588960747,0.35703503893672395
2023-09,0.025731134424348014,0.1905607184643339,0.2166832943006467,0.24992452725570677
2023-10,0.09005897048521805,0.1905607184643339,0.20063267990800623,0.19636927141519817
2023-11,0.06432783606087003,0.20521923526928265,0.20063267990800623,0.10711051168101719
2023-12,0.11579010490956607,0.13192665124453887,0.12840491514112398,0.07140700778734478
2024-01,0.12865567212174006,0.1905607184643339,0.13643022233744423,0.267776279202543
2024-02,0.11579010490956607,0.08795110082969258,0.20063267990800623,0.16066576752152578
2024-03,0.12865567212174006,0.29317033609897525,0.22470860149696698,0.24992452725570677
2024-04,0.05146226884869603,0.014658516804948762,0.008025307196320249,0.08925875973418099
