month,region,student_loan_count,credit_reporting_count,debt_collection_count,federal_student_loan_servicing_count,non_federal_student_loan_count,private_student_loan_count
2012-03,South,64,0,0,0,64,0
2012-04,South,37,0,0,0,37,0
2012-05,South,22,0,0,0,22,0
2012-06,South,85,0,0,0,85,0
2012-07,South,29,0,0,0,29,0
2012-08,South,25,0,0,0,25,0
2012-09,South,21,0,0,0,21,0
2012-10,South,37,0,0,0,37,0
2012-11,South,23,0,0,0,23,0
2012-12,South,30,0,0,0,30,0
2013-01,South,44,0,0,0,44,0
2013-02,South,33,0,0,0,33,0
2013-03,South,27,0,0,0,27,0
2013-04,South,32,0,0,0,32,0
2013-05,South,30,0,0,0,30,0
2013-06,South,25,0,0,0,25,0
2013-07,South,40,0,5,0,42,0
2013-08,South,40,0,5,0,42,0
2013-09,South,34,0,18,0,43,0
2013-10,South,54,0,17,0,59,0
2013-11,South,44,0,17,0,51,0
2013-12,South,40,0,16,0,45,0
2014-01,South,51,0,21,0,57,0
2014-02,South,54,0,17,0,61,0
2014-03,South,50,0,20,0,60,0
2014-04,South,62,0,10,0,68,0
2014-05,South,53,0,19,0,59,0
2014-06,South,73,0,27,0,83,0
2014-07,South,51,0,15,0,58,0
2014-08,South,54,0,11,0,59,0
2014-09,South,36,0,9,0,37,0
2014-10,South,58,0,12,0,59,0
2014-11,South,51,0,17,0,54,0
2014-12,South,53,0,9,0,60,0
2015-01,South,58,0,10,0,61,0
2015-02,South,35,0,21,0,38,0
2015-03,South,50,0,21,0,61,0
2015-04,South,58,0,15,0,63,0
2015-05,South,51,0,16,0,54,0
2015-06,South,51,0,13,0,55,0
2015-07,South,70,0,8,0,75,0
2015-08,South,42,0,16,0,50,0
2015-09,South,56,0,10,0,61,0
2015-10,South,50,0,12,0,58,0
2015-11,South,35,0,20,0,39,0
2015-12,South,38,0,8,0,40,0
2016-01,South,55,0,17,0,57,0
2016-02,South,64,0,18,6,61,0
2016-03,South,121,0,14,66,58,0
2016-04,South,99,0,15,49,54,0
2016-05,South,97,0,21,49,56,0
2016-06,South,76,0,13,38,40,0
2016-07,South,95,0,12,49,49,0
2016-08,South,81,0,21,36,55,0
2016-09,South,102,0,12,53,52,0
2016-10,South,77,0,20,40,43,0
2016-11,South,73,0,16,33,41,0
2016-12,South,60,0,13,31,31,0
2017-01,South,1563,0,16,1114,455,0
2017-02,South,516,0,17,345,176,0
2017-03,South,401,0,21,257,150,0
2017-04,South,283,7,20,178,97,14
2017-05,South,187,27,19,118,0,69
2017-06,South,157,18,15,90,0,67
2017-07,South,200,33,22,132,0,68
2017-08,South,203,38,21,121,0,82
2017-09,South,136,29,18,83,0,53
2017-10,South,139,24,25,75,0,64
2017-11,South,117,28,11,74,0,43
2017-12,South,112,31,15,72,0,40
2018-01,South,157,38,13,100,0,57
2018-02,South,119,23,17,73,0,46
2018-03,South,135,24,11,90,0,45
2018-04,South,129,20,13,79,0,50
2018-05,South,125,35,19,76,0,49
2018-06,South,111,19,13,58,0,53
2018-07,South,119,25,12,68,0,51
2018-08,South,122,27,14,73,0,49
2018-09,South,107,15,9,54,0,53
2018-10,South,107,24,15,69,0,38
2018-11,South,98,20,16,60,0,38
2018-12,South,119,21,13,77,0,42
2019-01,South,142,20,10,93,0,49
2019-02,South,128,21,11,79,0,49
2019-03,South,116,8,21,63,0,53
2019-04,South,91,14,16,52,0,39
2019-05,South,65,14,10,48,0,17
2019-06,South,94,23,17,55,0,39
2019-07,South,82,18,17,61,0,21
2019-08,South,78,17,25,53,0,25
2019-09,South,60,10,17,40,0,20
2019-10,South,75,17,13,40,0,35
2019-11,South,65,23,16,40,0,25
2019-12,South,53,17,13,31,0,22
2020-01,South,63,13,15,40,0,23
2020-02,South,71,15,8,53,0,18
2020-03,South,58,20,14,38,0,20
2020-04,South,49,27,7,29,0,20
2020-05,South,46,24,5,32,0,14
2020-06,South,51,26,6,34,0,17
2020-07,South,36,17,5,28,0,8
2020-08,South,33,17,3,22,0,11
