region,month,count
Midwest,2012-03,56
Midwest,2012-04,15
Midwest,2012-05,9
Midwest,2012-06,51
Midwest,2012-07,22
Midwest,2012-08,13
Midwest,2012-09,21
Midwest,2012-10,22
Midwest,2012-11,26
Midwest,2012-12,12
Midwest,2013-01,16
Midwest,2013-02,19
Midwest,2013-03,17
Midwest,2013-04,26
Midwest,2013-05,13
Midwest,2013-06,5
Midwest,2013-07,25
Midwest,2013-08,21
Midwest,2013-09,19
Midwest,2013-10,35
Midwest,2013-11,24
Midwest,2013-12,33
Midwest,2014-01,34
Midwest,2014-02,31
Midwest,2014-03,30
Midwest,2014-04,46
Midwest,2014-05,38
Midwest,2014-06,36
Midwest,2014-07,38
Midwest,2014-08,28
Midwest,2014-09,27
Midwest,2014-10,37
Midwest,2014-11,30
Midwest,2014-12,35
Midwest,2015-01,23
Midwest,2015-02,22
Midwest,2015-03,31
Midwest,2015-04,29
Midwest,2015-05,28
Midwest,2015-06,21
Midwest,2015-07,25
Midwest,2015-08,21
Midwest,2015-09,24
Midwest,2015-10,19
Midwest,2015-11,17
Midwest,2015-12,24
Midwest,2016-01,39
Midwest,2016-02,31
Midwest,2016-03,60
Midwest,2016-04,75
Midwest,2016-05,52
Midwest,2016-06,46
Midwest,2016-07,45
Midwest,2016-08,49
Midwest,2016-09,52
Midwest,2016-10,29
Midwest,2016-11,38
Midwest,2016-12,29
Midwest,2017-01,665
Midwest,2017-02,254
Midwest,2017-03,210
Midwest,2017-04,169
Midwest,2017-05,106
Midwest,2017-06,88
Midwest,2017-07,110
Midwest,2017-08,92
Midwest,2017-09,71
Midwest,2017-10,66
Midwest,2017-11,66
Midwest,2017-12,52
Midwest,2018-01,84
Midwest,2018-02,70
Midwest,2018-03,74
Midwest,2018-04,79
Midwest,2018-05,70
Midwest,2018-06,48
Midwest,2018-07,76
Midwest,2018-08,56
Midwest,2018-09,54
Midwest,2018-10,46
Midwest,2018-11,59
Midwest,2018-12,48
Midwest,2019-01,77
Midwest,2019-02,67
Midwest,2019-03,61
Midwest,2019-04,46
Midwest,2019-05,49
Midwest,2019-06,42
Midwest,2019-07,37
Midwest,2019-08,42
Midwest,2019-09,35
Midwest,2019-10,41
Midwest,2019-11,36
Midwest,2019-12,26
Midwest,2020-01,24
Midwest,2020-02,37
Midwest,2020-03,29
Midwest,2020-04,24
Midwest,2020-05,18
Midwest,2020-06,22
Midwest,2020-07,24
Midwest,2020-08,22
Midwest,2020-09,15
Midwest,2020-10,17
Midwest,2020-11,15
Midwest,2020-12,19
Midwest,2021-01,21
Midwest,2021-02,13
Midwest,2021-03,20
Midwest,2021-04,19
Midwest,2021-05,14
Midwest,2021-06,16
Midwest,2021-07,15
Midwest,2021-08,13
Midwest,2021-09,19
Midwest,2021-10,22
Midwest,2021-11,16
Midwest,2021-12,17
Midwest,2022-01,36
Midwest,2022-02,35
Midwest,2022-03,29
Midwest,2022-04,35
Midwest,2022-05,22
Midwest,2022-06,29
Midwest,2022-07,26
Midwest,2022-08,44
Midwest,2022-09,25
Midwest,2022-10,24
Midwest,2022-11,15
Midwest,2022-12,25
Midwest,2023-01,18
Midwest,2023-02,17
