month,region,student_loan_count,credit_reporting_count,debt_collection_count,federal_student_loan_servicing_count,non_federal_student_loan_count,private_student_loan_count
2012-03,West,48,0,0,0,48,0
2012-04,West,10,0,0,0,10,0
2012-05,West,12,0,0,0,12,0
2012-06,West,57,0,0,0,57,0
2012-07,West,15,0,0,0,15,0
2012-08,West,16,0,0,0,16,0
2012-09,West,16,0,0,0,16,0
2012-10,West,23,0,0,0,23,0
2012-11,West,19,0,0,0,19,0
2012-12,West,9,0,0,0,9,0
2013-01,West,16,0,0,0,16,0
2013-02,West,22,0,0,0,22,0
2013-03,West,20,0,0,0,20,0
2013-04,West,17,0,0,0,17,0
2013-05,West,17,0,0,0,17,0
2013-06,West,16,0,0,0,16,0
2013-07,West,22,0,8,0,22,0
2013-08,West,15,0,3,0,16,0
2013-09,West,31,0,11,0,32,0
2013-10,West,29,0,8,0,31,0
2013-11,West,20,0,14,0,25,0
2013-12,West,23,0,8,0,28,0
2014-01,West,30,0,17,0,36,0
2014-02,West,31,0,15,0,35,0
2014-03,West,26,0,18,0,33,0
2014-04,West,31,0,13,0,37,0
2014-05,West,40,0,11,0,43,0
2014-06,West,30,0,14,0,35,0
2014-07,West,31,0,11,0,35,0
2014-08,West,38,0,12,0,42,0
2014-09,West,28,0,6,0,29,0
2014-10,West,34,0,8,0,35,0
2014-11,West,24,0,11,0,29,0
2014-12,West,27,0,10,0,29,0
2015-01,West,33,0,4,0,34,0
2015-02,West,36,0,6,0,38,0
2015-03,West,34,0,12,0,36,0
2015-04,West,37,0,7,0,38,0
2015-05,West,22,0,14,0,25,0
2015-06,West,26,0,6,0,27,0
2015-07,West,31,0,8,0,32,0
2015-08,West,26,0,8,0,28,0
2015-09,West,38,0,11,0,43,0
2015-10,West,33,0,13,0,38,0
2015-11,West,11,0,10,0,12,0
2015-12,West,21,0,10,0,25,0
2016-01,West,29,0,7,0,33,0
2016-02,West,33,0,11,3,33,0
2016-03,West,68,0,25,40,37,0
2016-04,West,89,0,19,44,53,0
2016-05,West,62,0,11,35,31,0
2016-06,West,47,0,15,24,25,0
2016-07,West,37,0,8,25,14,0
2016-08,West,50,0,15,30,23,0
2016-09,West,63,0,11,36,30,0
2016-10,West,53,0,11,34,21,0
2016-11,West,43,0,8,24,20,0
2016-12,West,40,0,9,22,19,0
2017-01,West,681,0,5,459,224,0
2017-02,West,443,0,13,213,232,0
2017-03,West,238,0,9,137,105,0
2017-04,West,224,3,14,136,63,26
2017-05,West,129,11,17,68,0,61
2017-06,West,106,4,9,72,0,34
2017-07,West,118,13,9,68,0,50
2017-08,West,125,14,11,81,0,44
2017-09,West,90,6,11,62,0,28
2017-10,West,82,5,16,55,0,27
2017-11,West,78,6,14,48,0,30
2017-12,West,51,7,8,33,0,18
2018-01,West,84,11,7,51,0,33
2018-02,West,66,17,12,41,0,25
2018-03,West,99,11,10,61,0,38
2018-04,West,79,7,7,48,0,31
2018-05,West,82,4,7,46,0,36
2018-06,West,64,13,5,35,0,29
2018-07,West,85,13,6,55,0,30
2018-08,West,62,10,15,39,0,23
2018-09,West,59,13,6,39,0,20
2018-10,West,70,5,11,46,0,24
2018-11,West,56,10,8,37,0,19
2018-12,West,70,9,10,49,0,21
2019-01,West,79,3,9,56,0,23
2019-02,West,68,18,11,48,0,20
2019-03,West,64,12,8,48,0,16
2019-04,West,59,7,10,35,0,24
2019-05,West,43,7,3,29,0,14
2019-06,West,50,9,11,32,0,18
2019-07,West,50,11,8,34,0,16
2019-08,West,46,8,7,28,0,18
2019-09,West,41,7,3,23,0,18
2019-10,West,61,6,9,46,0,15
2019-11,West,37,9,7,26,0,11
2019-12,West,34,4,9,20,0,14
2020-01,West,42,5,5,26,0,16
2020-02,West,28,10,3,13,0,15
2020-03,West,34,4,3,24,0,10
2020-04,West,33,11,6,18,0,15
2020-05,West,30,12,4,23,0,7
2020-06,West,26,9,3,17,0,9
2020-07,West,27,6,5,16,0,11
2020-08,West,22,6,6,12,0,10
2020-09,West,22,2,3,14,0,8
2020-10,West,23,4,3,16,0,7
2020-11,West,15,8,4,11,0,4
2020-12,West,23,6,2,11,0,12
2021-01,West,30,9,5,19,0,11
2021-02,West,20,9,6,15,0,5
2021-03,West,19,10,10,15,0,4
2021-04,West,21,1,3,16,0,5
2021-05,West,18,8,4,5,0,13
2021-06,West,9,7,5,5,0,4
2021-07,West,22,6,4,13,0,9
2021-08,West,20,13,2,14,0,6
2021-09,West,10,7,3,7,0,3
2021-10,West,28,10,4,18,0,10
2021-11,West,15,10,3,10,0,5
2021-12,West,15,8,1,12,0,3
2022-01,West,37,6,2,20,0,17
2022-02,West,31,1,2,19,0,12
2022-03,West,20,4,3,8,0,12
2022-04,West,38,10,2,18,0,20
2022-05,West,27,11,3,10,0,17
2022-06,West,27,5,1,11,0,16
2022-07,West,23,4,1,11,0,12
2022-08,West,32,7,6,12,0,20
2022-09,West,24,11,4,9,0,15
2022-10,West,29,5,0,13,0,16
2022-11,West,16,4,1,9,0,7
2022-12,West,16,7,0,6,0,10
2023-01,West,14,7,1,7,0,7
2023-02,West,19,3,2,8,0,11
2023-03,West,17,2,2,7,0,10
2023-04,West,8,6,1,1,0,7
2023-05,West,10,4,1,2,0,8
2023-06,West,10,12,1,6,0,4
2023-07,West,19,4,2,6,0,13
2023-08,West,22,7,3,10,0,12
2023-09,West,11,0,2,9,0,2
2023-10,West,19,0,0,12,0,7
2023-11,West,15,0,0,10,0,5
2023-12,West,14,0,2,5,0,9
2024-01,West,18,0,2,8,0,10
2024-02,West,15,0,0,6,0,9
2024-03,West,13,0,5,3,0,10
2024-04,West,8,0,0,4,0,4
